regional key;city;area in km²;population
084355007059;Überlingen;58.64;22735.0
081255002006;Bad Rappenau;73.56;22703.0
034530007007;Friesoythe;247.50;22685.0
081255004026;Eppingen;88.58;22666.0
081180011011;Ditzingen;30.38;22666.0
032570035035;Stadthagen;60.27;22638.0
064400012012;Karben;43.94;22600.0
150860015015;Burg;165.55;22585.0
160635051003;Bad Salzungen;152.02;22557.0
055660040040;Lengerich;90.79;22557.0
010560041041;Quickborn;43.16;22521.0
033580021021;Soltau;203.77;22511.0
150870130130;Eisleben;144.74;22505.0
091830128128;Mühldorf a.Inn;29.42;22503.0
082150106106;Waghäusel;42.84;22466.0
064400004004;Büdingen;122.88;22411.0
064360003003;Eschborn;12.13;22403.0
081175003019;Eislingen/Fils;16.41;22325.0
097710113113;Aichach;92.83;22015.0
010510044044;Heide;31.97;22002.0
051540044044;Rees;109.86;21913.0
150810135135;Gardelegen;636.27;21822.0
083265001012;Donaueschingen;104.69;21790.0
053660044044;Zülpich;101.01;21780.0
082260084084;Schwetzingen;21.50;21767.0
083155001006;Bad Krozingen;35.69;21755.0
084165002025;Mössingen;50.03;21751.0
097800139139;Sonthofen;46.55;21734.0
073340007007;Germersheim;21.68;21715.0
082265004032;Hockenheim;34.84;21623.0
053740052052;Wipperfürth;118.30;21604.0
031590026026;Osterode am Harz;102.54;21598.0
057740016016;Büren;170.99;21593.0
053740036036;Radevormwald;53.86;21565.0
010580043043;Eckernförde;21.58;21563.0
100440111111;Dillingen/ Saar;22.05;21529.0
057540048048;Versmold;85.57;21513.0
083165006056;Waldkirch;48.47;21510.0
145240080080;Glauchau;51.62;21442.0
065340018018;Stadtallendorf;78.24;21425.0
053620016016;Elsdorf;66.17;21424.0
097740135135;Günzburg;55.40;21423.0
120720477477;Zossen;180.38;21412.0
057540012012;Halle (Westf.);69.70;21393.0
073380025025;Schifferstadt;28.06;21387.0
064360004004;Flörsheim am Main;22.99;21344.0
064380013013;Seligenstadt;30.85;21298.0
082150108108;Rheinstetten;32.31;21267.0
064320010010;Groß-Umstadt;86.84;21245.0
051700052052;Xanten;72.43;21179.0
034580014014;Wildeshausen;89.70;21155.0
120710372372;Spremberg/Grodk;202.32;21140.0
150820430430;Zerbst/Anhalt;470.91;21124.0
120720232232;Luckenwalde;46.61;21010.0
034550015015;Schortens;68.79;20995.0
055540056056;Stadtlohn;79.25;20946.0
059740020020;Geseke;97.89;20930.0
160650067067;Sondershausen;201.21;20910.0
091890155155;Traunstein;48.57;20877.0
091790145145;Puchheim;12.24;20858.0
084365002009;Bad Waldsee;108.55;20838.0
092790112112;Dingolfing;44.00;20749.0
051580036036;Wülfrath;32.27;20731.0
057580008008;Enger;41.24;20688.0
083255005053;Schramberg;80.70;20610.0
084355006057;Tettnang;71.25;20520.0
